"dates","unity","democracy","success","problem","terror","war","spLength"
"1789 – Washington",2.60078023407022,7.15214564369311,6.50195058517555,3.90117035110533,1.30039011703511,0,1538
"1793 – Washington",0,13.6054421768707,0,0,0,0,147
"1797 – Adams",2.321083172147,16.247582205029,4.642166344294,0,3.4816247582205,1.93423597678917,2585
"1801 – Jefferson",3.61757105943152,5.68475452196382,2.0671834625323,1.55038759689922,4.65116279069767,4.1343669250646,1935
"1805 – Jefferson",0.419463087248322,0,2.51677852348993,0,1.67785234899329,8.80872483221476,2384
"1809 – Madison",1.58102766798419,4.74308300395257,12.6482213438735,2.37154150197628,0,7.90513833992095,1265
"1813 – Madison",1.53374233128834,5.3680981595092,15.3374233128834,1.53374233128834,1.53374233128834,62.8834355828221,1304
"1817 – Monroe",0.541565123206066,9.20660709450311,5.95721635526672,0.270782561603033,1.35391280801516,22.4749526130517,3693
"1821 – Monroe",1.22224485638623,5.09268690160929,3.66673456915869,1.22224485638623,3.25931961702994,19.5559177021797,4909
"1825 – Adams",2.22222222222222,7.61904761904762,6.66666666666667,0.634920634920635,1.9047619047619,12.6984126984127,3150
"1829 – Jackson",0.827814569536424,6.62251655629139,2.48344370860927,0.827814569536424,0,4.13907284768212,1208
"1833 – Jackson",0.789265982636148,15.785319652723,6.31412786108919,0,1.5785319652723,0,1267
"1837 – VanBuren",1.67825461520019,11.0285303284584,4.79501318628626,1.9180052745145,4.79501318628626,6.95276912011508,4171
"1841 – Harrison",3.27332242225859,13.5297326786689,1.41843971631206,1.96399345335516,1.20021822149482,3.81887615930169,9165
"1845 – Polk",4.6189376443418,8.08314087759815,3.27174749807544,0.192455735180908,1.73210161662818,6.73595073133179,5196
"1849 – Taylor",2.53807106598985,8.46023688663283,0,1.69204737732657,1.69204737732657,4.23011844331641,1182
"1853 – Pierce",2.73448181569593,5.19551544982226,2.46103363412633,1.64068908941756,4.64861908668307,1.36724090784796,3657
"1857 – Buchanan",1.2911555842479,9.68366688185926,5.16462233699161,0,0.645577792123951,18.3989670755326,3098
"1861 – Lincoln",4.24469413233458,11.7353308364544,2.99625468164794,2.24719101123596,1.24843945068664,4.24469413233458,4005
"1865 – Lincoln",3.82165605095541,0,2.54777070063694,2.54777070063694,0,77.7070063694268,785
"1869 – Grant",3.22841000807102,4.03551251008878,0,0,2.42130750605327,4.03551251008878,1239
"1873 – Grant",2.7063599458728,11.5020297699594,2.7063599458728,1.3531799729364,2.0297699594046,13.531799729364,1478
"1877 – Hayes",2.20264317180617,7.34214390602056,0.734214390602056,2.20264317180617,1.10132158590308,0,2724
"1881 – Garfield",2.16116085211485,14.5106514356283,4.63105896881754,0.308737264587836,2.77863538129052,10.1883297313986,3239
"1885 – Cleveland",2.18818380743982,21.8818380743982,0,0.547045951859956,2.73522975929978,2.73522975929978,1828
"1889 – Harrison",0.631578947368421,13.4736842105263,1.68421052631579,0.631578947368421,1.05263157894737,4,4750
"1893 – Cleveland",0.928936367858802,20.901068276823,0.464468183929401,0,6.03808639108221,2.322340919647,2153
"1897 – McKinley",2.05902539464653,11.8965911690689,0.915122397620682,1.14390299702585,2.97414779226722,8.00732097918097,4371
"1901 – McKinley",0.408163265306122,11.8367346938776,6.53061224489796,2.44897959183673,1.22448979591837,14.2857142857143,2450
"1905 – Roosevelt",0.916590284142988,14.6654445462878,10.9990834097159,13.7488542621448,6.41613198900092,0,1091
"1909 – Taft",1.3684570646596,3.93431406089634,4.10537119397879,1.88162846390694,2.56585699623674,6.15805679096818,5846
"1913 – Wilson",1.0498687664042,2.6246719160105,4.1994750656168,2.0997375328084,3.1496062992126,0,1905
"1917 – Wilson",1.20772946859903,9.66183574879227,2.41545893719807,3.01932367149758,1.20772946859903,12.0772946859903,1656
"1921 – Harding",2.3961661341853,13.5782747603834,5.85729499467519,1.06496272630458,3.72736954206603,23.961661341853,3756
"1925 – Coolidge",2.92660963529941,8.55470508779829,6.52859072489869,2.25123818099955,2.02611436289959,6.9788383610986,4442
"1929 – Hoover",1.79948586118252,12.0822622107969,11.3110539845758,3.59897172236504,5.1413881748072,4.11311053984576,3890
"1933 – Roosevelt",2.42365487154629,9.69461948618517,3.87784779447407,4.36257876878333,11.6335433834222,9.69461948618517,2063
"1937 – Roosevelt",2.47647350173353,28.727092620109,10.4011887072808,5.94353640416047,1.48588410104012,4.95294700346706,2019
"1941 – Roosevelt",0.651041666666667,38.4114583333333,3.90625,0,5.859375,0,1536
"1945 – Roosevelt",1.56985871271586,18.8383045525903,6.27943485086342,0,7.84929356357928,15.6985871271586,637
"1949 – Truman",0.395569620253165,30.8544303797468,4.74683544303798,1.18670886075949,17.0094936708861,8.70253164556962,2528
"1953 – Eisenhower",2.88288288288288,13.3333333333333,0.36036036036036,3.24324324324324,3.96396396396396,11.5315315315315,2775
"1957 – Eisenhower",2.60824204486176,15.6494522691706,5.73813249869588,2.08659363588941,5.73813249869588,8.86802295253,1917
"1961 – Kennedy",1.9404915912031,3.23415265200517,6.46830530401035,6.46830530401035,10.9961190168176,14.8771021992238,1546
"1965 – Johnson",4.08163265306122,12.8279883381924,4.08163265306122,2.33236151603499,0,5.24781341107872,1715
"1969 – Nixon",3.71134020618557,12.3711340206186,1.64948453608247,0.824742268041237,4.5360824742268,6.5979381443299,2425
"1973 – Nixon",2.465483234714,5.91715976331361,4.93096646942801,2.465483234714,0,12.32741617357,2028
"1977 – Carter",2.89855072463768,10.1449275362319,2.89855072463768,2.17391304347826,1.44927536231884,10.1449275362319,1380
"1981 – Reagan",2.85612281328097,6.78329168154231,3.57015351660121,5.71224562656194,5.35523027490182,6.06926097822206,2801
"1985 – Reagan",5.43109300746775,14.9355057705363,4.75220638153428,3.05498981670061,3.39443312966735,7.46775288526816,2946
"1989 – Bush",2.21157390342794,13.2694434205676,2.58016955399926,2.21157390342794,0.737191301142647,5.89753040914117,2713
"1993 – Clinton",1.07816711590297,21.5633423180593,1.61725067385445,1.07816711590297,4.31266846361186,8.08625336927224,1855
"1997 – Clinton",4.06173842404549,15.4346060113729,2.03086921202275,4.87408610885459,6.09260763606824,5.28025995125914,2462
"2001 – Bush",1.0958904109589,5.47945205479452,0.547945205479452,4.38356164383562,4.38356164383562,4.38356164383562,1825
"2005 – Bush",5.05050505050505,7.57575757575758,5.05050505050505,1.26262626262626,10.1010101010101,2.1043771043771,2376
"2009 – Obama",1.46735143066764,5.86940572267058,5.13573000733676,1.46735143066764,5.86940572267058,5.50256786500367,2726
